Reference, Quantity, Value, Footprint, Datasheet
0.1uF1 ,1,"C1","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","Digikey BC1084CT-ND"
ADC1 ADC2 ADC3 ADC4 ADC5 ,5,"PT100","Thermometry:MAX31865",""
ADC6 ,1,"thermocouple1","Thermometry:MAX31856",""
ADC7 ,1,"thermocouple2","Thermometry:MAX31856",""
CP1 ,1,"47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2368-VHT47M25-ND"
F1 ,1,"1A","Thermometry:thermo_fuse","https://www.digikey.com/en/products/detail/littelfuse-inc/0154001-DRTL/2520456"
ILI9341TFT1 ILI9341TFT2 ,2,"Conn_01x14","Thermometry:ILI9341_2x7_connector","~"
ILI9341TFT3 ,1,"Conn_01x14","Thermometry:ILI9341_1x14_connector","~"
J1 ,1,"DB15_Female","Thermometry:D15_Female_Horizontal"," ~"
J2 ,1,"Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","https://www.digikey.com/en/products/detail/cui-devices/PJ-002A/96962"
MCU1 ,1,"Teensy4.1","Thermometry:Teensy41",""
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 ,12,"22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
R13 ,1,"0","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
Teensy_Ethernet1 ,1,"RJ45_LED","Connector_RJ:RJ45_Cetus_J1B1211CCD_Horizontal","~"
U1 ,1,"BME280","Thermometry:BME280",""